chromeMajorVersion	releaseDate
0.2.149	2008-09-02
0.3.154	2008-10-29
0.4.154	2008-11-24
1.0.154	2008-12-11
2.0.172	2009-05-24
3.0.195	2009-10-12
4.0.249	2010-01-25
4.1.249	2010-03-17
5.0.375	2010-05-21
6.0.472	2010-09-02
7.0.517	2010-10-21
8.0.552	2010-12-02
9.0.597	2011-02-03
10.0.648	2011-03-08
11.0.696	2011-04-27
12.0.742	2011-06-07
13.0.782	2011-08-02
14.0.835	2011-09-16
15.0.874	2011-10-25
16.0.912	2011-12-13
17.0.963	2012-02-08
18.0.1025	2012-03-28
19.0.1084	2012-05-15
20.0.1132	2012-06-26
21.0.1180	2012-07-31
22.0.1229	2012-09-25
23.0.1271	2012-11-06
24.0.1312	2013-01-10
25.0.1364	2013-02-21
26.0.1410	2013-03-26
27.0.1453	2013-05-21
28.0.1500	2013-06-17
29.0.1547	2013-08-20
30.0.1599	2013-09-18
31.0.1650	2013-11-12
32.0.1700	2014-01-14
33.0.1750	2014-02-18
34.0.1847	2014-04-02
35.0.1916	2014-05-20
36.0.1985	2014-07-15
37.0.2062	2014-08-26
38.0.2125	2014-10-07
39.0.2171	2014-11-12
40.0.2214	2015-01-20
41.0.2272	2015-03-03
42.0.2311	2015-04-14
43.0.2357	2015-05-19
44.0.2403	2015-07-21
45.0.2454	2015-09-01
46.0.2490	2015-10-13
47.0.2526	2015-12-01
48.0.2564	2016-01-20
49.0.2623	2016-03-02
50.0.2661	2016-04-13
51.0.2704	2016-05-25
52.0.2743	2016-07-20
53.0.2785	2016-08-31
54.0.2840	2016-10-12
55.0.2883	2016-12-01
56.0.2924	2017-01-25
57.0.2987	2017-03-09
58.0.3029	2017-04-19
59.0.3071	2017-06-05
60.0.3112	2017-07-25
61.0.3163	2017-09-05
62.0.3202	2017-10-17
63.0.3239	2017-12-05
64.0.3282	2018-01-23
65.0.3325	2018-03-06
66.0.3359	2018-04-17
67.0.3396	2018-05-29
68.0.3440	2018-07-24
69.0.3497	2018-09-04
70.0.3538	2018-10-16
71.0.3578	2018-12-04
72.0.3626	2019-01-29
73.0.3683	2019-03-12
74.0.3729	2019-04-23
75.0.3770	2019-06-04
76.0.3809	2019-07-30
77.0.3865	2019-09-10
78.0.3904	2019-10-22
79.0.3945	2019-12-10
80.0.3987	2020-02-04
81.0.4044	2020-04-07
83.0.4103	2020-05-19
84.0.4147	2020-07-14
85.0.4183	2020-08-25
86.0.4240	2020-10-06
87.0.4280	2020-11-17
88.0.4324	2021-01-19
89.0.4389	2021-03-02
90.0.4430	2021-04-13
91.0.4472	2021-05-25
92.0.4515	2021-07-20
93.0.4577	2021-08-31
